title,publisher,citation,abstract,keywords,author_university
SELECTIVE INFERENCE WITH A RANDOMIZED RESPONSE,ANNALS OF STATISTICS,34,"Inspired by sample splitting and the reusable holdout introduced in the field of differential privacy, we consider selective inference with a randomized response. We discuss two major advantages of using a randomized response for model selection. First, the selectively valid tests are more powerful after randomized selection. Second, it allows consistent estimation and weak convergence of selective inference procedures. Under independent sampling, we prove a selective (or privatized) central limit theorem that transfers procedures valid under asymptotic normality without selection to their corresponding selective counterparts. This allows selective inference in nonparametric settings. Finally, we propose a framework of inference after combining multiple randomized selection procedures. We focus on the classical asymptotic setting, leaving the interesting high-dimensional asymptotic questions for future work.","Selective inference,nonparametric,differential privacy","Tian, Xiaoying@Stanford University::Taylor, Jonathan@Stanford University"
MULTISCALE BLIND SOURCE SEPARATION,ANNALS OF STATISTICS,74,"We provide a new methodology for statistical recovery of single linear mixtures of piecewise constant signals (sources) with unknown mixing weights and change points in a multiscale fashion. We show exact recovery within an epsilon-neighborhood of the mixture when the sources take only values in a known finite alphabet. Based on this we provide the SLAM (Separates Linear Alphabet Mixtures) estimators for the mixing weights and sources. For Gaussian error, we obtain uniform confidence sets and optimal rates (up to log-factors) for all quantities. SLAM is efficiently computed as a nonconvex optimization problem by a dynamic program tailored to the finite alphabet assumption. Its performance is investigated in a simulation study. Finally, it is applied to assign copy-number aberrations from genetic sequencing data to different clones and to estimate their proportions.","Multiscale inference,honest confidence sets,change point regression,finite alphabet linear mixture,exact recovery,genetic sequencing","Behr, Merle@University of Gottingen::Holmes, Chris@University of Oxford::Munk, Axel@University of Gottingen@Max Planck Society"
SHARP ORACLE INEQUALITIES FOR LEAST SQUARES ESTIMATORS IN SHAPE RESTRICTED REGRESSION,ANNALS OF STATISTICS,25,"The performance of Least Squares (LS) estimators is studied in shape-constrained regression models under Gaussian and sub-Gaussian noise. General bounds on the performance of LS estimators over closed convex sets are provided. These results have the form of sharp oracle inequalities that account for the model misspecification error. In the presence of misspecification, these bounds imply that the LS estimator estimates the projection of the true parameter at the same rate as in the well-specified case.

In isotonic and unimodal regression, the LS estimator achieves the non-parametric rate n(-2/3) as well as a parametric rate of order k/n up to logarithmic factors, where k is the number of constant pieces of the true parameter. In univariate convex regression, the LS estimator satisfies an adaptive risk bound of order q/n up to logarithmic factors, where q is the number of affine pieces of the true regression function. This adaptive risk bound holds for any collection of design points. While Guntuboyina and Sen [Probab. Theory Related Fields 163 (2015) 379-411] established that the nonparametric rate of convex regression is of order n(-4/5) for equispaced design points, we show that the nonparametric rate of convex regression can be as slow as n(-2/3) for some worst-case design points. This phenomenon can be explained as follows: Although convexity brings more structure than unimodality, for some worstcase design points this extra structure is uninformative and the nonparametric rates of unimodal regression and convex regression are both n(-2/3). Higher order cones, such as the cone of beta-monotone sequences, are also studied.","Shape restricted regression,convexity,minimax rates,Gaussian width,concentration","Bellec, Pierre C.@ENSAE ParisTech@Rutgers State University New Brunswick@Centre National de la Recherche Scientifique (CNRS)@Universite Paris Saclay (ComUE)@CNRS - Institute for Humanities & Social Sciences (INSHS)"
ORACLE INEQUALITIES FOR SPARSE ADDITIVE QUANTILE REGRESSION IN REPRODUCING KERNEL HILBERT SPACE,ANNALS OF STATISTICS,54,"This paper considers the estimation of the sparse additive quantile regression (SAQR) in high-dimensional settings. Given the nonsmooth nature of the quantile loss function and the nonparametric complexities of the component function estimation, it is challenging to analyze the theoretical properties of ultrahigh-dimensional SAQR. We propose a regularized learning approach with a two-fold Lasso-type regularization in a reproducing kernel Hilbert space (RKHS) for SAQR. We establish nonasymptotic oracle inequalities for the excess risk of the proposed estimator without any coherent conditions. If additional assumptions including an extension of the restricted eigenvalue condition are satisfied, the proposed method enjoys sharp oracle rates without the light tail requirement. In particular, the proposed estimator achieves the minimax lower bounds established for sparse additive mean regression. As a by-product, we also establish the concentration inequality for estimating the population mean when the general Lipschitz loss is involved. The practical effectiveness of the new method is demonstrated by competitive numerical results.","Quantile regression,additive models,sparsity,regularization methods,reproducing kernel Hilbert space","Lv, Shaogao@Nanjing Audit University::Lin, Huazhen@Southwestern University of Finance & Economics - China::Lian, Heng@City University of Hong Kong::Huang, Jian@University of Iowa"
ON BAYESIAN INDEX POLICIES FOR SEQUENTIAL RESOURCE ALLOCATION,ANNALS OF STATISTICS,38,"This paper is about index policies for minimizing (frequentist) regret in a stochastic multi-armed bandit model, inspired by a Bayesian view on the problem. Our main contribution is to prove that the Bayes-UCB algorithm, which relies on quantiles of posterior distributions, is asymptotically optimal when the reward distributions belong to a one-dimensional exponential family, for a large class of prior distributions. We also show that the Bayesian literature gives new insight on what kind of exploration rates could be used in frequentist, UCB-type algorithms. Indeed, approximations of the Bayesian optimal solution or the Finite-Horizon Gittins indices provide a justification for the kl-UCB+ and kl-UCB-H+ algorithms, whose asymptotic optimality is also established.","Multi-armed bandit problems,Bayesian methods,upper-confidence bounds,Gittins indices","Kaufmann, Emilie@Centrale Lille@Inria@Centre National de la Recherche Scientifique (CNRS)@Fondation I-SITE ULNE@Universite de Lille@Universite Lille-Nord-de-France (ComUE)"
TESTING INDEPENDENCE WITH HIGH-DIMENSIONAL CORRELATED SAMPLES,ANNALS OF STATISTICS,45,"Testing independence among a number of (ultra) high-dimensional random samples is a fundamental and challenging problem. By arranging n identically distributed p-dimensional random vectors into a p x n data matrix, we investigate the problem of testing independence among columns under the matrix-variate normal modeling of data. We propose a computationally simple and tuning-free test statistic, characterize its limiting null distribution, analyze the statistical power and prove its minimax optimality. As an important by-product of the test statistic, a ratio-consistent estimator for the quadratic functional of a covariance matrix from correlated samples is developed. We further study the effect of correlation among samples to an important high-dimensional inference problem-large-scale multiple testing of Pearson's correlation coefficients. Indeed, blindly using classical inference results based on the assumed independence of samples will lead to many false discoveries, which suggests the need for conducting independence testing before applying existing methods. To address the challenge arising from correlation among samples, we propose a ""sandwich estimator"" of Pearson's correlation coefficient by de-correlating the samples. Based on this approach, the resulting multiple testing procedure asymptotically controls the overall false discovery rate at the nominal level while maintaining good statistical power. Both simulated and real data experiments are carried out to demonstrate the advantages of the proposed methods.","Independence test,multiple testing of correlations,false discovery rate,matrix-variate normal,quadratic functional estimation,high-dimensional sample correlation matrix","Chen, Xi@New York University::Liu, Weidong@Shanghai Jiao Tong University"
DETECTING RARE AND FAINT SIGNALS VIA THRESHOLDING MAXIMUM LIKELIHOOD ESTIMATORS,ANNALS OF STATISTICS,32,"Motivated by the analysis of RNA sequencing (RNA-seq) data for genes differentially expressed across multiple conditions, we consider detecting rare and faint signals in high-dimensional response variables. We address the signal detection problem under a general framework, which includes generalized linear models for count-valued responses as special cases. We propose a test statistic that carries out a multi-level thresholding on maximum likelihood estimators (MLEs) of the signals, based on a new Cramer-type moderate deviation result for multidimensional MLEs. Based on the multi-level thresholding test, a multiple testing procedure is proposed for signal identification. Numerical simulations and a case study on maize RNA-seq data are conducted to demonstrate the effectiveness of the proposed approaches on signal detection and identification.","Detection boundary,false discovery proportion,generalized linear model,moderate deviation,multiple testing procedure,RNA-seq data","Qiu, Yumou@University of Nebraska System@University of Nebraska Lincoln::Chen, Song Xi@Peking University::Nettleton, Dan@Iowa State University"
BAYESIAN ESTIMATION OF SPARSE SIGNALS WITH A CONTINUOUS SPIKE-AND-SLAB PRIOR,ANNALS OF STATISTICS,39,"We introduce a new framework for estimation of sparse normal means, bridging the gap between popular frequentist strategies (LASSO) and popular Bayesian strategies (spike-and-slab). The main thrust of this paper is to introduce the family of Spike-and-Slab LASSO (SS-LASSO) priors, which form a continuum between the Laplace prior and the point-mass spike-and-slab prior. We establish several appealing frequentist properties of SS-LASSO priors, contrasting them with these two limiting cases. First, we adopt the penalized likelihood perspective on Bayesian modal estimation and introduce the framework of Bayesian penalty mixing with spike-and-slab priors. We show that the SS-LASSO global posterior mode is (near) minimax rate-optimal under squared error loss, similarly as the LASSO. Going further, we introduce an adaptive two-step estimator which can achieve provably sharper performance than the LASSO. Second, we show that the whole posterior keeps pace with the global mode and concentrates at the (near) minimax rate, a property that is known not to hold for the single Laplace prior. The minimax-rate optimality is obtained with a suitable class of independent product priors (for known levels of sparsity) as well as with dependent mixing priors (adapting to the unknown levels of sparsity). Up to now, the rate-optimal posterior concentration has been established only for spike-and-slab priors with a point mass at zero. Thus, the SS-LASSO priors, despite being continuous, possess similar optimality properties as the ""theoretically ideal"" point-mass mixtures. These results provide valuable theoretical justification for our proposed class of priors, underpinning their intuitive appeal and practical potential.","Asymptotic minimaxity,LASSO,posterior concentration,spike-and-slab","Rockova, Veronika@University of Chicago"
HIGH DIMENSIONAL CENSORED QUANTILE REGRESSION,ANNALS OF STATISTICS,38,"Censored quantile regression (CQR) has emerged as a useful regression tool for survival analysis. Some commonly used CQR methods can be characterized by stochastic integral-based estimating equations in a sequential manner across quantile levels. In this paper, we analyze CQR in a high dimensional setting where the regression functions over a continuum of quantile levels are of interest. We propose a two-step penalization procedure, which accommodates stochastic integral based estimating equations and address the challenges due to the recursive nature of the procedure. We establish the uniform convergence rates for the proposed estimators, and investigate the properties on weak convergence and variable selection. We conduct numerical studies to confirm our theoretical findings and illustrate the practical utility of our proposals.","High dimensional survival data,varying covariate effects,censored quantile regression","Zheng, Qi@University of Louisville::Peng, Limin@Emory University::He, Xuming@University of Michigan System@University of Michigan"
CHERNOFF INDEX FOR COX TEST OF SEPARATE PARAMETRIC FAMILIES,ANNALS OF STATISTICS,32,"The asymptotic efficiency of a generalized likelihood ratio test proposed by Cox is studied under the large deviations framework for error probabilities developed by Chernoff. In particular, two separate parametric families of hypotheses are considered [In Proc. 4th Berkeley Sympos. Math. Statist. and Prob. (1961) 105-123; J. Roy. Statist. Soc. Ser. B 24 (1962) 406-424]. The significance level is set such that the maximal type I and type II error probabilities for the generalized likelihood ratio test decay exponentially fast with the same rate. We derive the analytic form of such a rate that is also known as the Chernoff index [Ann. Math. Stat. 23 (1952) 493-507], a relative efficiency measure when there is no preference between the null and the alternative hypotheses. We further extend the analysis to approximate error probabilities when the two families are not completely separated. Discussions are provided concerning the implications of the present result on model selection.","Asymptotic relative efficiency,generalized likelihood ratio,generalized linear models,large deviation,model selection,nonnested hypotheses,variable selection","Li, Xiaoou@University of Minnesota Twin Cities@University of Minnesota System::Liu, Jingchen@Columbia University::Ying, Zhiliang@Columbia University"
OPTIMAL BOUNDS FOR AGGREGATION OF AFFINE ESTIMATORS,ANNALS OF STATISTICS,41,"We study the problem of aggregation of estimators when the estimators are not independent of the data used for aggregation and no sample splitting is allowed. If the estimators are deterministic vectors, it is well known that the minimax rate of aggregation is of order log(M), where M is the number of estimators to aggregate. It is proved that for affine estimators, the minimax rate of aggregation is unchanged: it is possible to handle the linear dependence between the affine estimators and the data used for aggregation at no extra cost. The minimax rate is not impacted either by the variance of the affine estimators, or any other measure of their statistical complexity. The minimax rate is attained with a penalized procedure over the convex hull of the estimators, for a penalty that is inspired from the Q-aggregation procedure. The results follow from the interplay between the penalty, strong convexity and concentration.","Affine estimator,aggregation,sequence model,sharp oracle inequality,concentration inequality,Hanson-Wright","Bellec, Pierre C.@Universite Paris Saclay (ComUE)@Rutgers State University New Brunswick@ENSAE ParisTech"
RATE-OPTIMAL PERTURBATION BOUNDS FOR SINGULAR SUBSPACES WITH APPLICATIONS TO HIGH-DIMENSIONAL STATISTICS,ANNALS OF STATISTICS,60,"Perturbation bounds for singular spaces, in particularWedin's sin Theta theorem, are a fundamental tool in many fields including high-dimensional statistics, machine learning and applied mathematics. In this paper, we establish separate perturbation bounds, measured in both spectral and Frobenius sin Theta distances, for the left and right singular subspaces. Lower bounds, which show that the individual perturbation bounds are rate-optimal, are also given.

The new perturbation bounds are applicable to a wide range of problems. In this paper, we consider in detail applications to low-rank matrix denoising and singular space estimation, high-dimensional clustering and canonical correlation analysis (CCA). In particular, separate matching upper and lower bounds are obtained for estimating the left and right singular spaces. To the best of our knowledge, this is the first result that gives different optimal rates for the left and right singular spaces under the same perturbation.","Canonical correlation analysis,clustering,high-dimensional statistics,low-rank matrix denoising,perturbation bound,singular value decomposition,sin Theta distances,spectral method","Cai, T. Tony@University of Pennsylvania::Zhang, Anru@University of Wisconsin System@University of Wisconsin Madison"
EXACT FORMULAS FOR THE NORMALIZING CONSTANTS OF WISHART DISTRIBUTIONS FOR GRAPHICAL MODELS,ANNALS OF STATISTICS,39,"Gaussian graphical models have received considerable attention during the past four decades from the statistical and machine learning communities. In Bayesian treatments of this model, the G-Wishart distribution serves as the conjugate prior for inverse covariance matrices satisfying graphical constraints. While it is straightforward to posit the unnormalized densities, the normalizing constants of these distributions have been known only for graphs that are chordal, or decomposable. Up until now, it was unknown whether the normalizing constant for a general graph could be represented explicitly, and a considerable body of computational literature emerged that attempted to avoid this apparent intractability. We close this question by providing an explicit representation of the G-Wishart normalizing constant for general graphs.","Bartlett decomposition,bipartite graph,Cholesky decomposition,chordal graph,directed acyclic graph,G-Wishart distribution,Gaussian graphical model,generalized hypergeometric function of matrix argument,moral graph,normalizing constant,Wishart distribution","Uhler, Caroline@Massachusetts Institute of Technology (MIT)::Lenkoski, Alex@Unknow::Richards, Donald@Penn State University@Pennsylvania Commonwealth System of Higher Education (PCSHE)"
CONSISTENT PARAMETER ESTIMATION FOR LASSO AND APPROXIMATE MESSAGE PASSING,ANNALS OF STATISTICS,41,"This paper studies the optimal tuning of the regularization parameter in LASSO or the threshold parameters in approximate message passing (AMP). Considering a model in which the design matrix and noise are zero-mean i.i.d. Gaussian, we propose a data-driven approach for estimating the regularization parameter of LASSO and the threshold parameters in AMP. Our estimates are consistent, that is, they converge to their asymptotically optimal values in probability as n, the number of observations, and p, the ambient dimension of the sparse vector, grow to infinity, while n/p converges to a fixed number delta. As a byproduct of our analysis, we will shed light on the asymptotic properties of the solution paths of LASSO and AMP.","LASSO,estimation,sparsity,approximate message passing","Mousavi, Ali@Rice University::Maleki, Arian@Columbia University::Baraniuk, Richard G.@Rice University"
ON SEMIDEFINITE RELAXATIONS FOR THE BLOCK MODEL,ANNALS OF STATISTICS,58,"The stochastic block model (SBM) is a popular tool for community detection in networks, but fitting it by maximum likelihood (MLE) involves a computationally infeasible optimization problem. We propose a new semidefinite programming (SDP) solution to the problem of fitting the SBM, derived as a relaxation of the MLE. We put ours and previously proposed SDPs in a unified framework, as relaxations of the MLE over various subclasses of the SBM, which also reveals a connection to the well-known problem of sparse PCA. Our main relaxation, which we call SDP-1, is tighter than other recently proposed SDP relaxations, and thus previously established theoretical guarantees carry over. However, we show that SDP-1 exactly recovers true communities over a wider class of SBMs than those covered by current results. In particular, the assumption of strong assortativity of the SBM, implicit in consistency conditions for previously proposed SDPs, can be relaxed to weak assortativity for our approach, thus significantly broadening the class of SBMs covered by the consistency results. We also show that strong assortativity is indeed a necessary condition for exact recovery for previously proposed SDP approaches and not an artifact of the proofs. Our analysis of SDPs is based on primal-dual witness constructions, which provides some insight into the nature of the solutions of various SDPs. In particular, we show how to combine features from SDP-1 and already available SDPs to achieve the most flexibility in terms of both assortativity and block-size constraints, as our relaxation has the tendency to produce communities of similar sizes. This tendency makes it the ideal tool for fitting network histograms, a method gaining popularity in the graphon estimation literature, as we illustrate on an example of a social networks of dolphins. We also provide empirical evidence that SDPs outperform spectral methods for fitting SBMs with a large number of blocks.","Community detection,network,semidefinite programming,stochastic block model","Amini, Arash A.@University of California Los Angeles@University of California System::Levina, Elizaveta@University of Michigan System@University of Michigan"
Expectation propagation in the large data limit,JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY,30,"Expectation propagation (EP) is a widely successful algorithm for variational inference. EP is an iterative algorithm used to approximate complicated distributions, typically to find a Gaussian approximation of posterior distributions. In many applications of this type, EP performs extremely well. Surprisingly, despite its widespread use, there are very few theoretical guarantees on Gaussian EP, and it is quite poorly understood. To analyse EP, we first introduce a variant of EP: averaged EP, which operates on a smaller parameter space. We then consider averaged EP and EP in the limit of infinite data, where the overall contribution of each likelihood term is small and where posteriors are almost Gaussian. In this limit, we prove that the iterations of both averaged EP and EP are simple: they behave like iterations of Newton's algorithm for finding the mode of a function. We use this limit behaviour to prove that EP is asymptotically exact, and to obtain other insights into the dynamic behaviour of EP, e.g. that it may diverge under poor initialization exactly like Newton's method. EP is a simple algorithm to state, but a difficult one to study. Our results should facilitate further research into the theoretical properties of this important method.","Expectation propagation,Variational inference","Dehaene, Guillaume@Ecole Polytechnique Federale de Lausanne@University of Geneva::Barthelme, Simon@Unknow"
Inference for empirical Wasserstein distances on finite spaces,JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY,87,"The Wasserstein distance is an attractive tool for data analysis but statistical inference is hindered by the lack of distributional limits. To overcome this obstacle, for probability measures supported on finitely many points, we derive the asymptotic distribution of empirical Wasserstein distances as the optimal value of a linear programme with random objective function. This facilitates statistical inference (e.g. confidence intervals for sample-based Wasserstein distances) in large generality. Our proof is based on directional Hadamard differentiability. Failure of the classical bootstrap and alternatives are discussed. The utility of the distributional results is illustrated on two data sets.","Bootstrap,Central limit theorem,Directional Hadamard derivative,Hypothesis testing,Optimal transport,Wasserstein distance","Sommerfeld, Max@University of Gottingen::Munk, Axel@University of Gottingen@Max Planck Society"
A geometric approach to confidence regions and bands for functional parameters,JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY,23,"Functional data analysis is now a well-established discipline of statistics, with its core concepts and perspectives in place. Despite this, there are still fundamental statistical questions which have received relatively little attention. One of these is the systematic construction of confidence regions for functional parameters. This work is concerned with developing, understanding and visualizing such regions. We provide a general strategy for constructing confidence regions in a real separable Hilbert space by using hyperellipsoids and hyper-rectangles. We then propose specific implementations which work especially well in practice. They provide powerful hypothesis tests and useful visualization tools without relying on simulation. We also demonstrate the negative result that nearly all regions, including our own, have zero coverage when working with empirical covariances. To overcome this challenge we propose a new paradigm for evaluating confidence regions by showing that the distance between an estimated region and the desired region (with proper coverage) tends to 0 faster than the regions shrink to a point. We call this phenomena ghosting and refer to the empirical regions as ghost regions. We illustrate the proposed methods in a simulation study and an application to fractional anisotropy tract profile data.","Confidence bands,Confidence regions,Functional data analysis,Hypothesis testing,Principal component analysis","Choi, Hyunphil@Penn State University@Pennsylvania Commonwealth System of Higher Education (PCSHE)::Reimherr, Matthew@Penn State University@Pennsylvania Commonwealth System of Higher Education (PCSHE)"
An imputation-regularized optimization algorithm for high dimensional missing data problems and beyond,JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY,64,"Missing data are frequently encountered in high dimensional problems, but they are usually difficult to deal with by using standard algorithms, such as the expectation-maximization algorithm and its variants. To tackle this difficulty, some problem-specific algorithms have been developed in the literature, but there still lacks a general algorithm. This work is to fill the gap: we propose a general algorithm for high dimensional missing data problems. The algorithm works by iterating between an imputation step and a regularized optimization step. At the imputation step, the missing data are imputed conditionally on the observed data and the current estimates of parameters and, at the regularized optimization step, a consistent estimate is found via the regularization approach for the minimizer of a Kullback-Leibler divergence defined on the pseudocomplete data. For high dimensional problems, the consistent estimate can be found under sparsity constraints. The consistency of the averaged estimate for the true parameter can be established under quite general conditions. The algorithm is illustrated by using high dimensional Gaussian graphical models, high dimensional variable selection and a random-coefficient model.","Expectation-maximization algorithm,Gaussian graphical model,Gibbs sampler,Imputation consistency,Random-coefficient model,Variable selection","Liang, Faming@Purdue University@Purdue University System::Jia, Bochao@University of Florida@State University System of Florida::Xue, Jingnan@Unknow::Li, Qizhai@Chinese Academy of Sciences::Luo, Ye@University of Florida@State University System of Florida"
False discovery rate control for high dimensional networks of quantile associations conditioning on covariates,JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY,36,"Motivated by gene coexpression pattern analysis, we propose a novel sample quantile contingency (SQUAC) statistic to infer quantile associations conditioning on covariates. It features enhanced flexibility in handling variables with both arbitrary distributions and complex association patterns conditioning on covariates. We first derive its asymptotic null distribution, and then develop a multiple-testing procedure based on the SQUAC statistic to test simultaneously the independence between one pair of variables conditioning on covariates for all p(p-1)/2 pairs. Here, p is the length of the outcomes and could exceed the sample size. The testing procedure does not require resampling or perturbation and thus is computationally efficient. We prove by theory and numerical experiments that this testing method asymptotically controls the false discovery rate. It outperforms all alternative methods when the complex association patterns exist. Applied to a gastric cancer data set, this testing method successfully inferred the gene coexpression networks of early and late stage patients. It identified more changes in the networks which are associated with cancer survivals. We extend our method to the case that both the length of the outcomes and the length of covariates exceed the sample size, and show that the asymptotic theory still holds.","False discovery rate,Gene coexpression networks,High dimensional networks,Quantile regression","Xie, Jichun@Duke University::Li, Ruosha@University of Texas Health Science Center Houston@University of Texas System"
Multiple matrix Gaussian graphs estimation,JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY,53,"Matrix-valued data, where the sampling unit is a matrix consisting of rows and columns of measurements, are emerging in numerous scientific and business applications. Matrix Gaussian graphical models are a useful tool to characterize the conditional dependence structure of rows and columns. We employ non-convex penalization to tackle the estimation of multiple graphs from matrix-valued data under a matrix normal distribution. We propose a highly efficient non-convex optimization algorithm that can scale up for graphs with hundreds of nodes. We establish the asymptotic properties of the estimator, which requires less stringent conditions and has a sharper probability error bound than existing results. We demonstrate the efficacy of our proposed method through both simulations and real functional magnetic resonance imaging analyses.","Conditional independence,Gaussian graphical model,Matrix normal distribution,Non-convex penalization,Resting state functional magnetic resonance imaging,Sparsistency","Zhu, Yunzhang@Ohio State University::Li, Lexin@University of California Berkeley@University of California System"
On mitigating the analytical limitations of finely stratified experiments,JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY,50,"Although attractive from a theoretical perspective, finely stratified experiments such as paired designs suffer from certain analytical limitations that are not present in block-randomized experiments with multiple treated and control individuals in each block. In short, when using a weighted difference in means to estimate the sample average treatment effect, the traditional variance estimator in a paired experiment is conservative unless the pairwise average treatment effects are constant across pairs; however, in more coarsely stratified experiments, the corresponding variance estimator is unbiased if treatment effects are constant within blocks, even if they vary across blocks. Using insights from classical least squares theory, we present an improved variance estimator that is appropriate in finely stratified experiments. The variance estimator remains conservative in expectation but is asymptotically no more conservative than the classical estimator and can be considerably less conservative. The magnitude of the improvement depends on the extent to which effect heterogeneity can be explained by observed covariates. Aided by this estimator, a new test for the null hypothesis of a constant treatment effect is proposed. These findings extend to some, but not all, superpopulation models, depending on whether the covariates are viewed as fixed across samples.","Agnostic regression,Average treatment effect,Neymanian inference,Stratified experiment","Fogarty, Colin B.@Massachusetts Institute of Technology (MIT)"
The correlated pseudomarginal method,JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY,47,"The pseudomarginal algorithm is a Metropolis-Hastings-type scheme which samples asymptotically from a target probability density when we can only estimate unbiasedly an unnormalized version of it. In a Bayesian context, it is a state of the art posterior simulation technique when the likelihood function is intractable but can be estimated unbiasedly by using Monte Carlo samples. However, for the performance of this scheme not to degrade as the number T of data points increases, it is typically necessary for the number N of Monte Carlo samples to be proportional to T to control the relative variance of the likelihood ratio estimator appearing in the acceptance probability of this algorithm. The correlated pseudomarginal method is a modification of the pseudomarginal method using a likelihood ratio estimator computed by using two correlated likelihood estimators. For random-effects models, we show under regularity conditions that the parameters of this scheme can be selected such that the relative variance of this likelihood ratio estimator is controlled when N increases sublinearly with T and we provide guidelines on how to optimize the algorithm on the basis of a non-standard weak convergence analysis. The efficiency of computations for Bayesian inference relative to the pseudomarginal method empirically increases with T and exceeds two orders of magnitude in some examples.","Asymptotic posterior normality,Correlated random numbers,Intractable likelihood,Metropolis-Hastings algorithm,Particle filter,Random-effects model,Weak convergence","Deligiannidis, George@University of Oxford::Doucet, Arnaud@University of Oxford::Pitt, Michael K.@Kings College London@University of London"
Random-walk models of network formation and sequential Monte Carlo methods for graphs,JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY,56,"We introduce a class of generative network models that insert edges by connecting the starting and terminal vertices of a random walk on the network graph. Within the taxonomy of statistical network models, this class is distinguished by permitting the location of a new edge to depend explicitly on the structure of the graph, but being nonetheless statistically and computationally tractable. In the limit of infinite walk length, the model converges to an extension of the preferential attachment modelin this sense, it can be motivated alternatively by asking what preferential attachment is an approximation to. Theoretical properties, including the limiting degree sequence, are studied analytically. If the entire history of the graph is observed, parameters can be estimated by maximum likelihood. If only the final graph is available, its history can be imputed by using Markov chain Monte Carlo methods. We develop a class of sequential Monte Carlo algorithms that are more generally applicable to sequential network models and may be of interest in their own right. The model parameters can be recovered from a single graph generated by the model. Applications to data clarify the role of the random-walk length as a length scale of interactions within the graph.","Generative models,Preferential attachment,Random walk,Sequential Monte Carlo methods,Sequential network models","Bloem-Reddy, Benjamin@University of Oxford::Orbanz, Peter@Columbia University"
Detecting heteroscedasticity in non-parametric regression using weighted empirical processes,JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY,27,"Heteroscedastic errors can lead to inaccurate statistical conclusions if they are not properly handled. We introduce a test for heteroscedasticity for the non-parametric regression model with multiple covariates. It is based on a suitable residual-based empirical distribution function. The residuals are constructed by using local polynomial smoothing. Our test statistic involves a detection function' that can verify heteroscedasticity by exploiting just the independence-dependence structure between the detection function and model errors, i.e. we do not require a specific model of the variance function. The procedure is asymptotically distribution free: inferences made from it do not depend on unknown parameters. It is consistent at the parametric (root n) rate of convergence. Our results are extended to the case of missing responses and illustrated with simulations.","Heteroscedastic non-parametric regression,Local polynomial smoother,Missingness at random,Transfer principle,Weighted empirical process","Chown, Justin@Ruhr University Bochum::Mueller, Ursula U.@Texas A&M University College Station@Texas A&M University System"
Hybrid quantile regression estimation for time series models with conditional heteroscedasticity,JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY,39,"Estimating conditional quantiles of financial time series is essential for risk management and many other financial applications. For time series models with conditional heteroscedasticity, although it is the generalized auto-regressive conditional heteroscedastic (GARCH) model that has the greatest popularity, quantile regression for this model usually gives rise to non-smooth non-convex optimization which may hinder its practical feasibility. The paper proposes an easy-to-implement hybrid quantile regression estimation procedure for the GARCH model, where we overcome the intractability due to the square-root form of the conditional quantile function by a simple transformation. The method takes advantage of the efficiency of the GARCH model in modelling the volatility globally as well as the flexibility of quantile regression in fitting quantiles at a specific level. The asymptotic distribution of the estimator is derived and is approximated by a novel mixed bootstrapping procedure. A portmanteau test is further constructed to check the adequacy of fitted conditional quantiles. The finite sample performance of the method is examined by simulation studies, and its advantages over existing methods are illustrated by an empirical application to value-at-risk forecasting.","Bootstrap method,Conditional quantile,Generalized auto-regressive conditional heteroscedasticity,Non-linear time series,Quantile regression","Zheng, Yao@University of Hong Kong::Zhu, Qianqian@Shanghai University of Finance & Economics::Li, Guodong@University of Hong Kong::Xiao, Zhijie@Boston College"
